user_email,date_of_transaction,amount
user2@yahoo.com,2022-06-26,76.08
user2@yahoo.com,2022-06-28,81.81
user1@gmail.com,2022-06-30,80.23
user1@gmail.com,2022-07-02,81.36
user1@gmail.com,2022-07-04,33.09
user1@gmail.com,2022-07-06,36.32
user2@yahoo.com,2022-07-08,17.96
user1@gmail.com,2022-07-10,51.17
user3@hotmail.com,2022-07-12,29.91
user3@hotmail.com,2022-07-14,79.89
user3@hotmail.com,2022-07-16,95.37
user2@yahoo.com,2022-07-18,22.1
user1@gmail.com,2022-07-20,93.48
user1@gmail.com,2022-07-22,62.24
user1@gmail.com,2022-07-24,93.71
user1@gmail.com,2022-07-26,14.54
user3@hotmail.com,2022-07-28,90.54
user1@gmail.com,2022-07-30,75.87
user1@gmail.com,2022-08-01,71.75
user3@hotmail.com,2022-08-03,12.9
user2@yahoo.com,2022-08-05,16.11
user1@gmail.com,2022-08-07,87.84
user1@gmail.com,2022-08-09,53.78
user1@gmail.com,2022-08-11,62.76
user3@hotmail.com,2022-08-13,80.47
user2@yahoo.com,2022-08-15,72.07
user2@yahoo.com,2022-08-17,7.77
user1@gmail.com,2022-08-19,27.05
user2@yahoo.com,2022-08-21,96.65
user1@gmail.com,2022-08-23,73.03
user1@gmail.com,2022-08-25,88.78
user3@hotmail.com,2022-08-27,31.53
user1@gmail.com,2022-08-29,67.13
user2@yahoo.com,2022-08-31,53.24
user3@hotmail.com,2022-09-02,38.32
user3@hotmail.com,2022-09-04,63.35
user2@yahoo.com,2022-09-06,98.13
user3@hotmail.com,2022-09-08,61.85
user2@yahoo.com,2022-09-10,53.62
user2@yahoo.com,2022-09-12,25.72
user2@yahoo.com,2022-09-14,27.46
user3@hotmail.com,2022-09-16,76.34
user3@hotmail.com,2022-09-18,93.07
user1@gmail.com,2022-09-20,35.87
user2@yahoo.com,2022-09-22,49.8
user2@yahoo.com,2022-09-24,15
user3@hotmail.com,2022-09-26,14.64
user2@yahoo.com,2022-09-28,89
user3@hotmail.com,2022-09-30,69.06
user2@yahoo.com,2022-10-02,83.43
user2@yahoo.com,2022-10-04,55.74
user1@gmail.com,2022-10-06,8.35
user1@gmail.com,2022-10-08,31.75
user1@gmail.com,2022-10-10,95.1
user1@gmail.com,2022-10-12,97.16
user3@hotmail.com,2022-10-14,96.22
user3@hotmail.com,2022-10-16,52.47
user3@hotmail.com,2022-10-18,60.8
user1@gmail.com,2022-10-20,36.56
user2@yahoo.com,2022-10-22,48.96
user2@yahoo.com,2022-10-24,3.71
user1@gmail.com,2022-10-26,96.42
user3@hotmail.com,2022-10-28,22.81
user2@yahoo.com,2022-10-30,23
user2@yahoo.com,2022-11-01,45.75
user2@yahoo.com,2022-11-03,49.15
user1@gmail.com,2022-11-05,49.15
user2@yahoo.com,2022-11-07,11.27
user1@gmail.com,2022-11-09,82.21
user3@hotmail.com,2022-11-11,34.26
user2@yahoo.com,2022-11-13,12.65
user1@gmail.com,2022-11-15,57.49
user3@hotmail.com,2022-11-17,5.86
user3@hotmail.com,2022-11-19,47.7
user1@gmail.com,2022-11-21,15.28
user1@gmail.com,2022-11-23,58.42
user2@yahoo.com,2022-11-25,40.21
user3@hotmail.com,2022-11-27,85.21
user3@hotmail.com,2022-11-29,18.12
user2@yahoo.com,2022-12-01,73.41
user1@gmail.com,2022-12-03,31.44
user3@hotmail.com,2022-12-05,30.61
user3@hotmail.com,2022-12-07,57.32
user3@hotmail.com,2022-12-09,71.97
user3@hotmail.com,2022-12-11,15.63
user3@hotmail.com,2022-12-13,74.91
user3@hotmail.com,2022-12-15,85.65
user1@gmail.com,2022-12-17,77.49
user2@yahoo.com,2022-12-19,17.9
user3@hotmail.com,2022-12-21,80.23
user1@gmail.com,2022-12-23,9.07
user1@gmail.com,2022-12-25,76.86
user2@yahoo.com,2022-12-27,92.87
user3@hotmail.com,2022-12-29,32.63
user1@gmail.com,2022-12-31,19.15
